anger_0_sam_0093|for a full minute he crouched and listened
anger_1_sam_0340|it was like the beating of hoofs
anger_2_sam_0098|shall i carry you
anger_3_sam_0039|the ship should be in within a week or ten days
anger_4_sam_0140|accept a fathers blessing and with it this
anger_5_sam_0398|in the car were unwin and harrison while jones sat with the chauffeur
anger_6_sam_0175|down there the earth was already swelling with life
anger_7_sam_0001|author of the danger trail philip steels etc
anger_8_sam_0180|if not lets say our prayers and go to bed
anger_9_sam_0014|now youre coming down to business phil he exclaimed
anger_10_sam_0155|wont you draw up gentlemen
anger_11_sam_0293|they were deep in the primeval forest
anger_12_sam_0266|they handled two men already both grubthieves
anger_13_sam_0214|besides he was paid one case of tobacco per head
anger_14_sam_0012|gregson shoved back his chair and rose to his feet
anger_15_sam_0319|and the edinburgh evening news says with editorial gloom
anger_16_sam_0065|they closed now until his fingers were like cords of steel
anger_17_sam_0078|then and at supper he tried to fathom her
anger_18_sam_0016|theres fort churchill a rifleshot beyond the ridge asleep
anger_19_sam_0225|i was brought up the way most girls in hawaii are brought up
anger_20_sam_0252|obrien had been a clean living young man with ideals
anger_21_sam_0015|its the aurora borealis
anger_22_sam_0187|ahead of them they saw a glimmer of sunshine
anger_23_sam_0499|and right there i saw and knew it all
anger_24_sam_0204|the wolfdog thrust his gaunt muzzle toward him
anger_25_sam_0289|they are not regular oyster pirates nicholas continued
anger_26_sam_0349|it was simple in its way and no virtue of his
anger_27_sam_0338|the fighting had now become intermittent
anger_28_sam_0253|he it was that lived to found the family of the patino
anger_29_sam_0331|poor little crookedleg was terribly scared
anger_30_sam_0142|such things had occurred before he told philip
anger_31_sam_0021|it fairly clubbed me into recognizing it
anger_32_sam_0006|god bless em i hope ill go on seeing them forever
anger_33_sam_0158|does that look good
anger_34_sam_0259|think of investing in such an adventure
anger_35_sam_0032|since then some mysterious force has been fighting us at every step
anger_36_sam_0496|and tom king patiently endured
anger_37_sam_0494|obrien took off his coat and bared his right arm
anger_38_sam_0483|beyond dispute corry hutchinson had married mabel holmes
anger_39_sam_0249|all eyes however were staring at him in certitude of expectancy
anger_40_sam_0339|they obeyed him and went here and there at his commands
anger_41_sam_0478|also she has forbidden them smoking their pipes in the afterroom
anger_42_sam_0269|thats where they cut off the scottish chiefs and killed all hands
anger_43_sam_0139|he told himself that as he washed himself and groomed his disheveled clothes
anger_44_sam_0190|next to them the canada jays were most persistent
anger_45_sam_0055|philip stood undecided his ears strained to catch the slightest sound
anger_46_sam_0486|for the rest he was a mere automaton
anger_47_sam_0062|the men stared into each others face
anger_48_sam_0342|seventeen no eighteen days ago
